V2,V81,V84,V297,V417,V420,V497,V601,V713,V721,V86,V103,V104,V370,V6,V868,V7,V172,V279,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V610
3317,WEIBLICH,91,VERWITWET,1200,1125 - 1249 EURO,1200,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,23.88,FAST NIE,NIE,MANCHMAL,FAST NIE,MANCHMAL,IMMER,FAST NIE,FAST NIE,FAST NIE,OFT,MANCHMAL,.._duplicated_7
3318,MAENNLICH,44,VERHEIRAT.ZUSAM.LEB.,5800,5000 - 7499 EURO,3095,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,31.98,NIE,NIE,OFT,IMMER,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3319,WEIBLICH,53,VERHEIRAT.ZUSAM.LEB.,1900,1750 - 1999 EURO,1750,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.71,OFT,MANCHMAL,OFT,MANCHMAL,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,.._duplicated_7
3320,MAENNLICH,33,LEDIG,1300,1250 - 1374 EURO,NA,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,KEINER DER SCHICHTEN,28.63,OFT,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,OFT,OFT,MANCHMAL,MANCHMAL,NIE,.._duplicated_4
3321,MAENNLICH,67,VERHEIRAT.ZUSAM.LEB.,900,875 - 999 EURO,933,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,27.41,MANCHMAL,NIE,IMMER,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
3322,WEIBLICH,73,VERWITWET,950,875 - 999 EURO,950,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,31.18,FAST NIE,OFT,MANCHMAL,FAST NIE,OFT,OFT,OFT,OFT,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_5
3323,MAENNLICH,55,LEDIG,3000,3000 - 3999 EURO,2236,EVANG.FREIKIRCHE,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,30.35,FAST NIE,NIE,OFT,OFT,NIE,NIE,MANCHMAL,OFT,MANCHMAL,FAST NIE,NIE,.._duplicated_8
3324,WEIBLICH,39,VERHEIRAT.ZUSAM.LEB.,1300,1250 - 1374 EURO,1304,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,22.49,FAST NIE,FAST NIE,OFT,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,.._duplicated_8
3325,WEIBLICH,45,LEDIG,NA,NA,NA,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,ARBEITERSCHICHT,NA,IMMER,MANCHMAL,MANCHMAL,MANCHMAL,OFT,MANCHMAL,IMMER,OFT,FAST NIE,FAST NIE,FAST NIE,.._duplicated_7
3326,MAENNLICH,72,VERHEIRAT.ZUSAM.LEB.,1400,1375 - 1499 EURO,1600,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,32.37,MANCHMAL,MANCHMAL,OFT,NIE,IMMER,FAST NIE,IMMER,OFT,NIE,NIE,NIE,.._duplicated_5
3327,MAENNLICH,61,VERHEIRAT.ZUSAM.LEB.,752,750 - 874 EURO,1050,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,36.3,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,OFT,MANCHMAL,OFT,OFT,OFT,OFT,FAST NIE,.._duplicated_8
3328,MAENNLICH,55,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,1667,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,23.57,MANCHMAL,NIE,OFT,OFT,FAST NIE,NIE,NIE,NIE,FAST NIE,NIE,NIE,.._duplicated_9
3329,WEIBLICH,27,VERHEIRAT.ZUSAM.LEB.,450,400 - 499 EURO,1867,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,22.32,MANCHMAL,MANCHMAL,OFT,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_7
3330,WEIBLICH,21,VERHEIRAT.ZUSAM.LEB.,345,300 - 399 EURO,878,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,20.57,OFT,MANCHMAL,MANCHMAL,OFT,FAST NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_8
3331,WEIBLICH,56,GESCHIEDEN,1000,1000 - 1124 EURO,1333,EVANG.OHNE FREIKIRCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,34.77,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,OFT,MANCHMAL,OFT,OFT,FAST NIE,FAST NIE,NIE,.._duplicated_8
3332,MAENNLICH,39,LEDIG,5000,5000 - 7499 EURO,5000,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,25.93,MANCHMAL,FAST NIE,MANCHMAL,OFT,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_7
3333,MAENNLICH,65,VERHEIRAT.ZUSAM.LEB.,1000,1000 - 1124 EURO,1000,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,25.86,NIE,MANCHMAL,MANCHMAL,OFT,FAST NIE,NIE,MANCHMAL,NIE,NIE,NIE,NIE,.._duplicated_7
3334,WEIBLICH,28,LEDIG,1700,1500 - 1749 EURO,1700,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ARBEITER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,30.8,OFT,FAST NIE,MANCHMAL,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3335,WEIBLICH,56,GESCHIEDEN,2950,2750 - 2999 EURO,3500,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,24,FAST NIE,NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3336,MAENNLICH,66,VERHEIRAT.ZUSAM.LEB.,NA,3000 - 3999 EURO,1250,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,OBERSCHICHT,24.62,OFT,FAST NIE,MANCHMAL,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3337,WEIBLICH,78,VERHEIRAT.ZUSAM.LEB.,268,200 - 299 EURO,979,ROEMISCH-KATHOLISCH,NA,NA,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,29.72,MANCHMAL,NIE,OFT,OFT,FAST NIE,NIE,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,NIE,GANZ ZUFRIEDEN
3338,MAENNLICH,63,VERHEIRAT.ZUSAM.LEB.,5000,5000 - 7499 EURO,4000,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,25.76,MANCHMAL,NIE,OFT,IMMER,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
3339,MAENNLICH,73,VERHEIRAT.ZUSAM.LEB.,2100,2000 - 2249 EURO,2267,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,24.91,MANCHMAL,FAST NIE,OFT,MANCHMAL,IMMER,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,.._duplicated_8
3340,MAENNLICH,62,VERHEIRAT.ZUSAM.LEB.,3000,3000 - 3999 EURO,2240,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,"JA, UND ANDERE",BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,35.43,FAST NIE,FAST NIE,OFT,MANCHMAL,FAST NIE,NIE,FAST NIE,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_9
3341,MAENNLICH,59,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,1061,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,22.32,OFT,FAST NIE,OFT,NIE,OFT,NIE,OFT,OFT,NIE,NIE,NIE,GANZ ZUFRIEDEN
3342,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,1609,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,27.04,MANCHMAL,FAST NIE,OFT,OFT,FAST NIE,NIE,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3343,WEIBLICH,33,VERHEIRAT.ZUSAM.LEB.,NA,NA,1222,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,"HAUSFRAU,-MANN",MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,29.41,OFT,MANCHMAL,MANCHMAL,FAST NIE,OFT,FAST NIE,OFT,OFT,MANCHMAL,MANCHMAL,FAST NIE,.._duplicated_5
3344,MAENNLICH,68,VERHEIRAT.ZUSAM.LEB.,2500,2500 - 2749 EURO,2667,EVANG.OHNE FREIKIRCH,FRUEHER ERWERBSTAETIG,IM RUHESTAND,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,28.7,MANCHMAL,FAST NIE,OFT,MANCHMAL,FAST NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_9
3345,WEIBLICH,65,VERHEIRAT.ZUSAM.LEB.,595,500 - 624 EURO,867,EVANG.OHNE FREIKIRCH,NA,NA,HOCHSCHULREIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,EHEM. BERLIN-OST,NEUE BUNDESLAENDER,MITTELSCHICHT,28.08,NIE,NIE,MANCHMAL,MANCHMAL,OFT,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_7
3346,MAENNLICH,39,VERHEIRAT.ZUSAM.LEB.,NA,875 - 999 EURO,774,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,22.53,OFT,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_3
3347,WEIBLICH,71,VERHEIRAT.ZUSAM.LEB.,518,500 - 624 EURO,2000,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,19.49,FAST NIE,FAST NIE,OFT,FAST NIE,NIE,NIE,MANCHMAL,MANCHMAL,FAST NIE,FAST NIE,NIE,.._duplicated_8
3348,WEIBLICH,43,VERHEIRAT.ZUSAM.LEB.,1300,1250 - 1374 EURO,1720,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,19.61,OFT,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,.._duplicated_8
3349,WEIBLICH,51,VERHEIRAT.ZUSAM.LEB.,1600,1500 - 1749 EURO,1280,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,25.91,MANCHMAL,OFT,FAST NIE,NIE,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,OFT,.._duplicated_8
3350,MAENNLICH,28,LEDIG,2200,2000 - 2249 EURO,2333,ROEMISCH-KATHOLISCH,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,MITTELSCHICHT,23.65,OFT,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,FAST NIE,NIE,NIE,NIE,NIE,.._duplicated_9
3351,MAENNLICH,63,VERWITWET,3000,3000 - 3999 EURO,3000,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,OBERE MITTELSCHICHT,39.64,FAST NIE,MANCHMAL,OFT,FAST NIE,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
3352,MAENNLICH,79,VERHEIRAT.ZUSAM.LEB.,1100,1000 - 1124 EURO,1133,EVANG.OHNE FREIKIRCH,NA,NA,FACHHOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,24.09,MANCHMAL,NIE,MANCHMAL,FAST NIE,MANCHMAL,NIE,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,NIE,.._duplicated_7
3353,MAENNLICH,52,VERH.GETRENNT LEBEND,10000,7500 EURO UND MEHR,5000,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,SONST.SELBSTAENDIGE,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,26.06,FAST NIE,NIE,OFT,IMMER,NIE,MANCHMAL,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
3354,WEIBLICH,50,LEDIG,830,750 - 874 EURO,830,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,OBERE MITTELSCHICHT,20.17,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,NIE,NIE,NIE,.._duplicated_4
3355,MAENNLICH,48,VERHEIRAT.ZUSAM.LEB.,2800,2750 - 2999 EURO,3467,KEINER RELIGIONSGEM.,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,NORDRHEIN-WESTFALEN,ALTE BUNDESLAENDER,MITTELSCHICHT,29.17,OFT,FAST NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,.._duplicated_8
3356,MAENNLICH,45,GESCHIEDEN,NA,500 - 624 EURO,586,EVANG.OHNE FREIKIRCH,NA,NA,MITTLERE REIFE,NEBENHER BERUFSTAE.,NA,DEUTSCHLAND,JA,EHEM. BERLIN-WEST,ALTE BUNDESLAENDER,MITTELSCHICHT,32.08,IMMER,OFT,FAST NIE,NIE,FAST NIE,NIE,NIE,NIE,FAST NIE,FAST NIE,FAST NIE,.._duplicated_2
3357,WEIBLICH,55,VERHEIRAT.ZUSAM.LEB.,340,300 - 399 EURO,453,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,BRANDENBURG,NEUE BUNDESLAENDER,MITTELSCHICHT,18.07,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
3358,MAENNLICH,38,LEDIG,2000,2000 - 2249 EURO,2000,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,EHEM. BERLIN-OST,NEUE BUNDESLAENDER,MITTELSCHICHT,25.31,MANCHMAL,FAST NIE,OFT,MANCHMAL,NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_7
3359,MAENNLICH,54,VERHEIRAT.ZUSAM.LEB.,2100,2000 - 2249 EURO,1867,KEINER RELIGIONSGEM.,NA,NA,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BAYERN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,32.08,FAST NIE,FAST NIE,MANCHMAL,FAST NIE,OFT,NIE,NIE,NIE,NIE,NIE,FAST NIE,.._duplicated_9
3360,WEIBLICH,47,VERHEIRAT.ZUSAM.LEB.,2800,2750 - 2999 EURO,2174,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,"BEAMT,RICHTER,SOLDAT",DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,OBERE MITTELSCHICHT,26.03,MANCHMAL,FAST NIE,OFT,OFT,NIE,NIE,NIE,NIE,NIE,NIE,NIE,GANZ ZUFRIEDEN
3361,WEIBLICH,19,LEDIG,900,875 - 999 EURO,625,AND.NICHT-CHRISTLICH,ERWERBSTAETIG,ERWERBSTAETIG,"VOLKS-,HAUPTSCHULE",HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,ARBEITERSCHICHT,21.05,OFT,OFT,FAST NIE,OFT,OFT,MANCHMAL,MANCHMAL,MANCHMAL,NIE,NIE,OFT,.._duplicated_9
3362,MAENNLICH,55,VERHEIRAT.ZUSAM.LEB.,2000,2000 - 2249 EURO,1600,ROEMISCH-KATHOLISCH,NA,NA,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,NIEDERSACHSEN,ALTE BUNDESLAENDER,UNTERSCHICHT,32.33,OFT,FAST NIE,OFT,OFT,FAST NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,GANZ ZUFRIEDEN
3363,WEIBLICH,52,VERHEIRAT.ZUSAM.LEB.,1000,1000 - 1124 EURO,532,ROEMISCH-KATHOLISCH,FRUEHER ERWERBSTAETIG,ARBEITSLOS,"VOLKS-,HAUPTSCHULE",NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,29.74,OFT,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,FAST NIE,FAST NIE,NIE,NIE,NIE,.._duplicated_7
3364,MAENNLICH,33,LEDIG,NA,2500 - 2749 EURO,3000,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,ARBEITERSCHICHT,28.07,FAST NIE,FAST NIE,OFT,MANCHMAL,FAST NIE,FAST NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_7
3365,WEIBLICH,32,VERHEIRAT.ZUSAM.LEB.,600,500 - 624 EURO,1000,AND.NICHT-CHRISTLICH,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.HALBTAGS,ANGESTELLTER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,ARBEITERSCHICHT,21.45,OFT,FAST NIE,MANCHMAL,FAST NIE,FAST NIE,NIE,OFT,OFT,FAST NIE,FAST NIE,NIE,.._duplicated_6
3366,MAENNLICH,21,LEDIG,1300,1250 - 1374 EURO,1429,AND.CHRISTL.RELIGION,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,HESSEN,ALTE BUNDESLAENDER,MITTELSCHICHT,27.76,MANCHMAL,FAST NIE,MANCHMAL,FAST NIE,MANCHMAL,MANCHMAL,FAST NIE,MANCHMAL,NIE,NIE,MANCHMAL,.._duplicated_6
3367,MAENNLICH,32,LEDIG,NA,NA,NA,AND.NICHT-CHRISTLICH,NIE ERWERBSTAETIG,"SCHUELER, STUDENT",HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,ANDERES LAND,NEIN,SACHSEN-ANHALT,NEUE BUNDESLAENDER,MITTELSCHICHT,31.14,NIE,NIE,OFT,MANCHMAL,NIE,NIE,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_7
3368,MAENNLICH,62,GESCHIEDEN,1300,1250 - 1374 EURO,933,EVANG.OHNE FREIKIRCH,ERWERBSTAETIG,ERWERBSTAETIG,FACHHOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,MECKLENB.-VORPOMMERN,NEUE BUNDESLAENDER,MITTELSCHICHT,20.8,MANCHMAL,FAST NIE,MANCHMAL,OFT,NIE,NIE,MANCHMAL,FAST NIE,FAST NIE,FAST NIE,NIE,.._duplicated_9
3369,WEIBLICH,19,LEDIG,NA,750 - 874 EURO,NA,ROEMISCH-KATHOLISCH,ERWERBSTAETIG,ERWERBSTAETIG,HOCHSCHULREIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,BADEN-WUERTTEMBERG,ALTE BUNDESLAENDER,MITTELSCHICHT,23.99,OFT,OFT,FAST NIE,FAST NIE,MANCHMAL,MANCHMAL,MANCHMAL,MANCHMAL,OFT,OFT,OFT,.._duplicated_7
3370,MAENNLICH,26,LEDIG,2000,2000 - 2249 EURO,1889,KEINER RELIGIONSGEM.,NA,NA,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ARBEITER,DEUTSCHLAND,JA,SACHSEN,NEUE BUNDESLAENDER,MITTELSCHICHT,26.88,FAST NIE,NIE,MANCHMAL,MANCHMAL,NIE,NIE,NIE,NIE,NIE,NIE,NIE,.._duplicated_8
3371,WEIBLICH,57,VERHEIRAT.ZUSAM.LEB.,1150,1125 - 1249 EURO,1800,KEINER RELIGIONSGEM.,ERWERBSTAETIG,ERWERBSTAETIG,MITTLERE REIFE,HAUPTBERUFL.GANZTAGS,ANGESTELLTER,DEUTSCHLAND,JA,THUERINGEN,NEUE BUNDESLAENDER,MITTELSCHICHT,NA,MANCHMAL,FAST NIE,OFT,OFT,MANCHMAL,NIE,MANCHMAL,MANCHMAL,NIE,NIE,FAST NIE,.._duplicated_8
3372,WEIBLICH,65,GESCHIEDEN,1216,1125 - 1249 EURO,1216,KEINER RELIGIONSGEM.,FRUEHER ERWERBSTAETIG,IM RUHESTAND,HOCHSCHULREIFE,NICHT ERWERBSTAETIG,NA,DEUTSCHLAND,JA,RHEINLAND-PFALZ,ALTE BUNDESLAENDER,MITTELSCHICHT,22.04,IMMER,NIE,FAST NIE,OFT,FAST NIE,NIE,MANCHMAL,FAST NIE,NIE,NIE,NIE,.._duplicated_5
